Time,Frequency,Amplitude
2024-01-04 19:08:05.912814,"321383000
","-87.3926086426
"
2024-01-04 19:08:05.928335,"328396000
","-86.2857589722
"
2024-01-04 19:08:05.944292,"324000000
","-86.8752822876
"
2024-01-04 19:08:05.960247,"319694000
","-87.2385559082
"
2024-01-04 19:08:05.976206,"320414000
","-85.369102478
"
2024-01-04 19:08:05.992165,"321423000
","-85.7085113525
"
2024-01-04 19:08:06.014622,"328715000
","-84.0585784912
"
2024-01-04 19:08:06.023598,"328276000
","-85.3107376099
"
2024-01-04 19:08:06.038558,"321742000
","-86.782951355
"
2024-01-04 19:08:06.054515,"327247000
","-84.0582809448
"
2024-01-04 19:08:06.070472,"322631000
","-86.9878234863
"
2024-01-04 19:08:06.085432,"325818000
","-86.421333313
"
2024-01-04 19:08:06.101393,"326188000
","-85.5334701538
"
2024-01-04 19:08:06.117408,"322042000
","-87.2064437866
"
2024-01-04 19:08:06.134366,"328505000
","-84.9189224243
"
2024-01-04 19:08:06.149325,"323031000
","-84.7666091919
"
2024-01-04 19:08:06.164281,"327646000
","-87.0714950562
"
2024-01-04 19:08:06.181235,"328496000
","-86.0876464844
"
2024-01-04 19:08:06.197194,"320004000
","-85.9912490845
"
2024-01-04 19:08:06.211674,"325409000
","-85.7172317505
"
2024-01-04 19:08:06.228629,"323740000
","-85.4066238403
"
2024-01-04 19:08:06.243622,"320833000
","-87.1823120117
"
2024-01-04 19:08:06.258582,"322022000
","-86.5283050537
"
2024-01-04 19:08:06.274539,"320204000
","-86.0240402222
"
2024-01-04 19:08:06.290501,"320513000
","-85.9918823242
"
2024-01-04 19:08:06.306464,"319245000
","-84.8703536987
"
2024-01-04 19:08:06.322943,"325009000
","-87.5902175903
"
2024-01-04 19:08:06.337903,"326458000
","-86.1325149536
"
2024-01-04 19:08:06.352863,"328765000
","-84.9766311646
"
2024-01-04 19:08:06.368825,"322661000
","-86.0680847168
"
2024-01-04 19:08:06.384785,"319295000
","-85.7371368408
"
2024-01-04 19:08:06.401754,"328486000
","-84.6250762939
"
2024-01-04 19:08:06.417231,"319055000
","-84.5906677246
"
2024-01-04 19:08:06.432185,"319974000
","-86.2202072144
"
2024-01-04 19:08:06.448142,"319075000
","-85.6209487915
"
2024-01-04 19:08:06.463105,"319544000
","-86.8126220703
"
2024-01-04 19:08:06.480062,"324070000
","-86.2291793823
"
2024-01-04 19:08:06.496015,"323950000
","-86.1977539062
"
2024-01-04 19:08:06.512498,"320164000
","-87.0920715332
"
2024-01-04 19:08:06.526447,"325209000
","-86.3990325928
"
2024-01-04 19:08:06.542405,"326498000
","-86.7465744019
"
2024-01-04 19:08:06.558362,"320064000
","-86.8026580811
"
2024-01-04 19:08:06.574319,"319844000
","-86.6969451904
"
2024-01-04 19:08:06.590276,"321832000
","-85.6161727905
"
2024-01-04 19:08:06.607234,"322701000
","-84.3831863403
"
2024-01-04 19:08:06.622717,"326527000
","-87.2767105103
"
2024-01-04 19:08:06.637683,"319095000
","-83.3863525391
"
2024-01-04 19:08:06.652638,"320723000
","-85.6605072021
"
2024-01-04 19:08:06.668595,"326897000
","-85.5528640747
"
2024-01-04 19:08:06.685561,"320024000
","-87.3499298096
"
